"First Name","Last Name","Mobile Number","Email","Is Activated","Location","Education","Experience","Current Salary","Notice Period","Relocate","Industry Exposure","Current Company"
"shri","patki",1122005588,"shri2@gail.com",false,,,,,,,,
"shri","patki",6622991100,"rrr@sss.com",true,"Pune","Under Graduate","11 Year","5 Lacs","Within 1 month","Yes","Regional / National","dasdsa"
"shri","patki",9405915967,"shrikant@tpl.com",true,"Pune","Under Graduate","1 Year","5 Lacs","Within 1 month","Yes","Regional / National","tpl"
"shri","patki",7722005522,"pat@pat.com",false,,,,,,,,
"shri","shri",1234567890,"shri@shri.com",true,"Pune","Under Graduate","11 Year","5 Lacs","Within 1 month","Yes","Local Companies","tpl"
"shri","patki",8308831953,"mai@mai.com",false,,,,,,,,
"shri","patki",5566773311,"shri9@tpl3.com",true,"Pune","Graduate","10 Year","6 Lacs","Within 1 month","Yes","Regional / National","tpl"
"shri","patki",4455667788,"shri@lpt.com",false,,,,,,,,
"vai","bhav",9657359224,"vai@bhav.com",false,,,,,,,,
"fddfd","pat",1236511003,"shri0@tpl3.com",true,"Dasuya","Post Graduate","12 Year","4 Lacs","Within 1 month","Yes","Regional / National","dsds"
"shri","patki",7766554433,"shri1@gmail.com",false,,,,,,,,
"shri","patki",9988844332,"jdsj@gmail.com",false,,,,,,,,
